LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 43511, 0, 6.081220840706948, 42.1875, 4.7368421052631575,
1, 181449, 0, 0.4688817518972273, 89.55592105263158, 0.35258236634894324,
2, 49783, 0, 12.598678263664302, 50.0, 10.094637223974761,
3, 84230, 0, 0.5235664252641576, 100.0, 0.39370078740157477,
4, 15581, 0, 40.25415570245812, 100.0, 33.59580052493439,
5, 158147, 0, 0.5185839756682075, 99.04891304347827, 0.38995635056487504,
6, 31163, 0, 40.25286397330167, 100.0, 33.59580052493439,
7, 44693, 0, 0.49336585147562256, 94.23076923076923, 0.37098728043609935,
8, 11595, 0, 54.09228115567055, 94.23076923076923, 47.39307843433579,
9, 75635, 0, 0.5027434388841145, 96.02272727272727, 0.378042233357194,
10, 23191, 0, 54.089948686990645, 94.23076923076923, 47.39307843433579,
11, 27503, 0, 0.4008653601425299, 76.5625, 0.3014271653543307,
12, 11231, 0, 55.84542783367465, 76.5625, 51.24183006535947,
13, 41255, 0, 0.392679675190886, 75.0, 0.2952755905511811,
14, 22463, 0, 55.842941726394514, 76.5625, 51.24183006535947,
15, 41255, 0, 0.392679675190886, 75.0, 0.2952755905511811,
16, 22463, 0, 55.842941726394514, 76.5625, 51.24183006535947,
17, 41255, 0, 0.392679675190886, 75.0, 0.2952755905511811,
18, 22463, 0, 55.842941726394514, 76.5625, 51.24183006535947,
19, 41255, 0, 0.392679675190886, 75.0, 0.2952755905511811,
20, 22463, 0, 55.842941726394514, 76.5625, 51.24183006535947,
21, 41255, 0, 0.392679675190886, 75.0, 0.2952755905511811,
22, 22463, 0, 55.842941726394514, 76.5625, 51.24183006535947,
23, 13751, 0, 0.4008799360046542, 76.5625, 0.3014271653543307,
24, 9711, 0, 64.58655133353929, 76.5625, 61.39389193422083,
25, 27503, 0, 0.0736283314547504, 14.0625, 0.055364173228346455,
26, 19423, 0, 64.58322607218247, 76.5625, 61.39389193422083,
